p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	1.66410493454336	0.999	0.945	0	cluster_4	MT2A	2.40079593658456
0	1.56836734753945	0.997	0.922	0	cluster_4	NFKBIA	2.26267579458735
0	1.56590329616612	0.992	0.847	0	cluster_4	MT1X	2.25912091989055
0	1.42333094305719	0.962	0.572	0	cluster_4	GADD45B	2.05343249309242
0	1.26770125080758	0.993	0.886	0	cluster_4	JUNB	1.82890630786883
0	1.2614294000529	0.964	0.587	0	cluster_4	HES1	1.81985793988785
0	1.15357846232905	1	0.997	0	cluster_4	ID1	1.66426192687843
0	1.13989352951972	0.992	0.859	0	cluster_4	ID2	1.64451874217951
0	1.08668342089408	0.992	0.899	0	cluster_4	EID2	1.56775278234015
0	1.00323411604187	0.987	0.854	0	cluster_4	CCN1	1.44736088406423
0	0.979982219990438	0.895	0.464	0	cluster_4	IER5	1.41381548893956
0	0.960658705623072	0.982	0.801	0	cluster_4	DDIT3	1.38593755058922
0	0.95418086822864	0.975	0.705	0	cluster_4	MT1F	1.37659200670458
0	0.928495625242006	0.992	0.87	0	cluster_4	SNHG15	1.33953603402374
0	0.923427503305851	0.764	0.343	0	cluster_4	AL118516.1	1.33222427963983
0	0.908071529494792	0.967	0.685	0	cluster_4	EFNA1	1.31007029237459
0	0.886663971782896	0.995	0.948	0	cluster_4	ELF3	1.2791857150261
0	0.886633716839742	0.982	0.749	0	cluster_4	IER3	1.27914206636965
0	0.867874883295038	0.994	0.876	0	cluster_4	THUMPD3-AS1	1.25207879024184
0	0.853353899988255	0.95	0.709	0	cluster_4	CEBPD	1.23112943963631
0	0.843730930781946	1	0.971	0	cluster_4	IER2	1.21724642968374
0	0.837039764379156	0.825	0.322	0	cluster_4	TNFAIP3	1.20759311709668
0	0.818109534401587	0.932	0.566	0	cluster_4	AL627171.2	1.18028256818515
0	0.816500558288951	0.98	0.766	0	cluster_4	ID3	1.17796130632654
0	0.806046147337139	0.881	0.362	0	cluster_4	ZNF34	1.16287877949095
0	0.800902882179948	0.582	0.228	0	cluster_4	TNF	1.15545861635469
0	0.780339370707847	0.961	0.685	0	cluster_4	SMAD7	1.12579174033063
0	0.77603696639927	0.903	0.44	0	cluster_4	DLX2	1.11958468297074
0	0.775808829707713	0.851	0.363	0	cluster_4	NR1D1	1.11925555129719
0	0.761678594503823	1	1	0	cluster_4	RPL38	1.09886993104194
0	0.758574377563024	0.958	0.569	0	cluster_4	KLF10	1.09439149265561
0	0.734006061606076	0.864	0.465	0	cluster_4	ARL4A	1.05894690506153
0	0.729527230833449	1	1	0	cluster_4	ZFAS1	1.05248531811688
0	0.707616843202089	0.988	0.861	0	cluster_4	FJX1	1.02087531053716
0	0.704590209117754	0.847	0.488	0	cluster_4	HIST3H2A	1.0165088005531
0	0.690394457607629	0.995	0.959	0	cluster_4	RSRC2	0.996028660247751
0	0.689788214371305	0.862	0.36	0	cluster_4	ADM	0.995154036137134
0	0.683760287342729	1	0.998	0	cluster_4	PFDN2	0.986457575706167
0	0.675873074111833	0.978	0.779	0	cluster_4	SNHG17	0.97507873229152
0	0.675515593320979	0.878	0.494	0	cluster_4	KLF11	0.974562996527342
0	0.674476907782249	0.948	0.566	0	cluster_4	GATA2	0.973064490051573
0	0.671734887291411	0.984	0.875	0	cluster_4	MTRNR2L12	0.969108590687425
0	0.658785861909385	0.978	0.788	0	cluster_4	ZFP36	0.950427095984431
0	0.655719264628418	1	0.999	0	cluster_4	SNRPD2	0.946002931294777
0	0.649529582472406	1	1	0	cluster_4	RPL32	0.937073107543619
0	0.643167350206935	0.972	0.809	0	cluster_4	IRF2BPL	0.927894346605241
0	0.624099905705861	0.978	0.806	0	cluster_4	H2AFX	0.900385838981116
0	0.623570078271315	0.956	0.604	0	cluster_4	PPP1R15A	0.899621459568768
0	0.621053026191913	0.983	0.85	0	cluster_4	ZFP36L1	0.895990121016156
0	0.611992702342837	0.729	0.388	0	cluster_4	BCL6	0.882918836730246
0	0.610124598439141	0.797	0.383	0	cluster_4	HOXC13	0.880223732492518
0	0.606382301578409	0.996	0.954	0	cluster_4	SNHG9	0.874824739370007
0	0.605793192343421	0.995	0.896	0	cluster_4	CCNL1	0.873974834398148
0	0.605725460068654	0.958	0.72	0	cluster_4	ID4	0.873877117381233
1.22840679715984e-229	0.600623397254666	0.717	0.477	2.90039128877409e-225	cluster_4	ADAMTS1	0.866516396661188
0	0.596186564094032	1	0.986	0	cluster_4	TCEAL9	0.86011539946309
0	0.595762897720636	1	1	0	cluster_4	SNHG6	0.8595041780872
0	0.58944467561377	0.994	0.94	0	cluster_4	EPHA2	0.850388910386389
0	0.582533136289211	0.99	0.88	0	cluster_4	OSER1	0.840417666877939
0	0.580685289559869	0.966	0.747	0	cluster_4	CITED2	0.837751787565195
0	0.579350212691294	0.992	0.919	0	cluster_4	BRD2	0.835825678787696
0	0.574758479879156	0.953	0.709	0	cluster_4	SURF6	0.829201208630537
0	0.572889894853169	0.903	0.528	0	cluster_4	THAP1	0.826505410280067
0	0.569282394661405	0.998	0.971	0	cluster_4	CEBPB	0.821300887643403
0	0.567192276719393	0.805	0.484	0	cluster_4	SIX4	0.818285484853589
0	0.562529532854685	0.942	0.613	0	cluster_4	NXF1	0.811558567403039
0	0.560342418875168	1	0.999	0	cluster_4	SNU13	0.808403228910932
0	0.560340632589902	0.903	0.545	0	cluster_4	CLK1	0.808400651846036
0	0.55982277640396	0.897	0.404	0	cluster_4	KLK15	0.807653543294684
0	0.559624338487187	0.932	0.618	0	cluster_4	CENPL	0.807367257896231
0	0.557067976199487	0.89	0.495	0	cluster_4	NUAK2	0.803679206701052
0	0.556672517078823	0.992	0.877	0	cluster_4	TAF1D	0.803108679788794
5.98136350755468e-268	0.553968117785274	0.62	0.315	1.41225973776874e-263	cluster_4	CIART	0.799207056339408
0	0.553165808301553	0.917	0.668	0	cluster_4	RSRP1	0.798049568425986
0	0.552381037453537	1	1	0	cluster_4	RPS19	0.796917383415318
0	0.552223717275499	0.996	0.948	0	cluster_4	TRA2B	0.796690418374632
0	0.550184757692315	0.853	0.533	0	cluster_4	CBX4	0.793748821495399
2.24743035807524e-228	0.549593018194277	0.617	0.37	5.30640781845146e-224	cluster_4	HOXA2	0.792895121856081
0	0.546873225428031	1	0.987	0	cluster_4	SNRPF	0.788971290319972
2.40671919810723e-155	0.539568209661048	0.432	0.238	5.68250469865098e-151	cluster_4	HIST1H2AE	0.77843238029933
0	0.538648258876737	1	0.988	0	cluster_4	C19orf33	0.777105171864943
1.08029371780535e-268	0.537958838398189	0.54	0.251	2.55068149711021e-264	cluster_4	AC010207.1	0.776110548359454
0	0.536732099615059	0.915	0.518	0	cluster_4	CLK4	0.774340738400566
0	0.535444489119183	1	1	0	cluster_4	RPS15	0.77248310912357
0	0.535426552549954	0.983	0.852	0	cluster_4	KMT2E	0.772457232124093
8.92240595390826e-239	0.534805597593481	0.52	0.255	2.10666926977728e-234	cluster_4	AC108134.2	0.771561383487774
6.29229052373949e-249	0.531268050541455	0.938	0.766	1.48567271556013e-244	cluster_4	IER5L	0.766457781898905
