"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPL37"	2.96577087555206e-161	0.351629133900999	1	1	7.00248161426596e-157
"RPL39"	1.2227337066882e-159	0.345830369959682	1	1	2.88699655486151e-155
"RPS27"	2.92834639729342e-158	0.400068152706686	1	1	6.9141186786495e-154
"RPS29"	7.45108875011681e-150	0.307445270171085	1	1	1.75927656479008e-145
"RPL37A"	8.3891381882768e-139	0.34091352523252	1	1	1.98075941763403e-134
"RPS21"	1.47044405850869e-135	0.308615788167419	1	1	3.47186546654487e-131
"RPL41"	9.48733332237452e-130	0.278784771827524	1	1	2.24005427074585e-125
"RPS28"	6.71888233544556e-118	0.312125321246411	1	1	1.58639530822205e-113
"RPL34"	3.19949949431529e-99	0.333103918575555	1	1	7.55433825602783e-95
"RPL36A"	5.77475499117225e-97	0.28361501506994	1	1	1.36347740096568e-92
"SCD"	1.86284856479322e-95	0.578994653168045	0.999	0.985	4.39837174633328e-91
"RPL36"	2.26972852390231e-95	0.27071457952706	1	1	5.35905601778574e-91
"RPL28"	4.64575829607777e-88	0.25469864672751	1	1	1.09690999128692e-83
"SNHG5"	2.8419556297301e-59	0.311548068170505	0.997	1	6.71014143735574e-55
"TMSB10"	1.12841774640703e-54	0.277582124635115	1	1	2.66430714104163e-50
"UPK1B"	2.90587346339313e-43	-0.496639778748244	0.89	0.955	6.86105783441752e-39
"TUBA1A"	2.98267282416709e-43	0.498033900220387	0.913	0.767	7.04238880514093e-39
"FADS2"	2.282393933808e-41	0.399073290461385	0.942	0.853	5.38896031711407e-37
"SNHG6"	5.19019299118573e-38	0.260156127504047	0.999	0.998	1.22545646714886e-33
"PEG10"	1.21361743027111e-36	0.397378853456144	0.888	0.728	2.86547211461311e-32
"FASN"	1.85634676797363e-35	0.33121442054547	0.998	0.981	4.38302035386253e-31
"GAS5"	7.46917218992275e-35	0.334614336123963	0.991	0.979	1.76354624576266e-30
"PSAP"	1.69139485487488e-34	0.269524580611011	0.999	0.999	3.99355239184507e-30
"C4orf48"	3.03888433153211e-34	0.296288210844092	0.991	0.961	7.17510979518047e-30
"S100A13"	9.82092190383118e-28	0.250499052119456	1	1	2.31881787071358e-23
"HMGCS1"	2.39597213843321e-27	0.509339645808738	0.981	0.931	5.65712981605465e-23
"SLC25A1"	2.65966005928333e-27	0.271076662374331	0.991	0.977	6.27972336597387e-23
"TXNIP"	8.2203585596947e-25	0.387546501254731	0.524	0.292	1.94090885952951e-20
"FADS1"	1.71307148500947e-23	0.256668108543312	0.996	0.967	4.04473308325587e-19
"ASS1"	7.4981811825186e-23	0.259733000506256	0.979	0.951	1.77039555900447e-18
"LAMA3"	1.59096588401433e-21	-0.36585879865065	0.662	0.824	3.75642954874623e-17
"LSS"	1.94871091039116e-21	0.316174183290419	0.723	0.569	4.60110133052458e-17
"TSTD1"	2.63333124361325e-21	0.263452353730254	0.907	0.848	6.21755839929523e-17
"SNHG25"	1.23253286284973e-20	0.323141698300095	0.979	0.966	2.9101333424745e-16
"TSHR"	1.82485311879977e-17	0.27945636893881	0.869	0.756	4.30866069879815e-13
"FDFT1"	7.07415881954783e-17	0.277726119719623	0.954	0.913	1.67027963888344e-12
"CCND1"	1.34627220020012e-16	-0.351047368399285	0.84	0.917	3.1786832918925e-12
"MSMO1"	3.04327257764264e-16	0.325892205142316	0.867	0.813	7.18547088307204e-12
"IGFBP5"	4.15241731396478e-15	0.420932666273065	0.515	0.343	9.80427252000224e-11
"MUC1"	4.51753695478276e-14	0.304496892475147	0.707	0.611	1.06663565039376e-09
"SMARCA2"	6.21599346861389e-14	0.26235343965609	0.69	0.561	1.46765821787442e-09
"IGFBP2"	1.48494347227243e-12	0.296802946635567	0.968	0.943	3.50610003238243e-08
"AR"	1.72171307787565e-11	0.253190186851357	0.501	0.366	4.0651367481722e-07
"CLDN16"	6.34283860187946e-11	-0.303393291221378	0.588	0.679	1.49760762228976e-06
"FLG"	1.27417449428465e-08	0.433313557721801	0.393	0.271	0.000300845339845548
"CTSB"	8.55496138747655e-07	-0.270982177860813	0.959	0.957	0.0201991193319709
"GPX3"	3.03380739230577e-06	0.255062446274403	0.879	0.843	0.0716312263397316
