"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"ZFAS1"	0	2.19382873975745	1	1	0
"EEF1A1"	0	-0.907705112342306	1	1	0
"TPT1"	0	-1.24808286787304	1	1	0
"RAB11FIP4"	0	-1.80359217242961	0.271	0.968	0
"CDH6"	0	-2.06615606662323	0.382	0.995	0
"RPL10A"	5.58886353246312e-308	-0.98301634948797	0.999	1	1.31958656864987e-303
"RPL3"	1.70495124706815e-307	-0.824591892233573	1	1	4.02556038945261e-303
"PHGDH"	1.54908284706749e-304	-1.71730841316105	0.502	0.987	3.65753951021106e-300
"SNHG7"	2.94906386643358e-304	1.75578952816392	0.999	0.923	6.96303469503632e-300
"SCD"	3.14647314062781e-300	-1.70836845454918	0.526	0.985	7.42913773233632e-296
"JAK1"	1.05541633256618e-291	-1.37075237039185	0.616	0.998	2.491943502822e-287
"PGLS"	1.29612541254694e-290	-1.23776991070307	0.42	0.989	3.06028171156458e-286
"TENM3"	5.45796451307459e-289	-1.21900606504333	0.275	0.945	1.28868000118204e-284
"IDH1"	1.68201336440674e-288	-1.3853760358427	0.192	0.915	3.97140175470075e-284
"ARHGAP29"	5.10484972322128e-287	-1.64153213420646	0.93	1	1.20530606814978e-282
"MT-CO3"	2.81039367584318e-286	-1.44648259412637	1	1	6.63562050803333e-282
"GAS5"	2.47746535493902e-285	1.74769932873637	1	0.979	5.84954344954652e-281
"ATP5F1D"	3.14508926637403e-285	-1.24167838036309	0.723	1	7.42587026683573e-281
"TM7SF2"	1.13365153242348e-282	-1.38583118439645	0.492	0.988	2.67666463320509e-278
"CCNI"	3.35692581345392e-282	-1.00566847576693	0.975	1	7.92603753814605e-278
"RPLP0"	4.67113859005411e-282	-0.699558542844377	1	1	1.10290253249768e-277
"SNHG9"	7.96470960241357e-281	1.38263057056148	0.997	0.866	1.88054758422587e-276
"MT2A"	1.33455502819051e-279	2.83086870360362	0.995	0.821	3.15101787706061e-275
"MT-ND4"	1.04238362770411e-277	-1.35894477840036	1	1	2.46117198337218e-273
"SPON1"	3.16756099605981e-277	-1.42733414243487	0.748	0.996	7.47892826779681e-273
"RPL28"	5.15842451284281e-275	-0.657517482777902	0.999	1	1.21795561172732e-270
"RPS26"	3.18701474466615e-272	0.681988753928042	1	1	7.52486051363125e-268
"BEX2"	9.71753333983524e-271	-1.27720578769212	0.644	0.993	2.2944067968685e-266
"RPL13"	9.78295556457218e-271	-0.677248463657073	1	1	2.30985363835114e-266
"SOX17"	1.11871912963746e-270	-1.24845890987751	0.195	0.897	2.641407736987e-266
"MT-ATP6"	7.06799963512198e-269	-1.37244265878501	1	1	1.66882539384865e-264
"EIF4G2"	7.93642416966679e-267	-0.99455594381309	0.983	1	1.87386911070003e-262
"PAX8"	9.07200539150365e-265	-1.23501618581686	0.695	1	2.14199119298793e-260
"RPS11"	1.55143437860413e-264	-0.754516466797408	0.999	1	3.66309171132222e-260
"HMGCS1"	6.77155192755226e-264	-1.64816655204875	0.357	0.931	1.59883112561436e-259
"MT-CYB"	1.69368111054308e-263	-1.18519927703293	1	1	3.99895047010328e-259
"MT-ND5"	2.29277486450708e-261	-1.32274819713821	0.958	0.999	5.41347073258768e-257
"NMU"	8.49159578871896e-260	-1.56506588326972	0.862	0.995	2.00495068167443e-255
"PPFIBP1"	1.55807555653391e-259	-1.21812294127322	0.845	0.999	3.67877219653222e-255
"EPRS"	4.09850304199104e-259	-1.11155566846381	0.602	0.993	9.67697553244504e-255
"PRXL2A"	2.02225241076443e-258	-1.1739588600585	0.438	0.965	4.77474016705588e-254
"TRHDE"	2.95731287671061e-258	-1.22151553423485	0.499	0.982	6.98251143320142e-254
"ARL6IP4"	1.08319217416047e-257	-0.944007302647242	0.881	1	2.5575250424103e-253
"CHCHD10"	7.22228236337941e-257	-1.16755606812436	0.812	1	1.70525308881751e-252
"MRPL12"	3.24887421613643e-256	-1.11236331997532	0.669	0.996	7.67091691171973e-252
"FDPS"	9.95114648704966e-256	-1.06910979425661	0.875	0.998	2.34956519705729e-251
"EIF3K"	7.61934951036837e-255	-0.876084622067439	0.988	1	1.79900461289308e-250
"MT-CO1"	1.07344772969797e-254	-1.17548132901477	0.999	1	2.53451743458987e-250
"MGMT"	1.71329139829483e-252	-1.0581538848092	0.616	0.988	4.04525232051393e-248
"LGALS3BP"	1.82585075913447e-251	-1.07281747938396	0.711	0.998	4.3110162273924e-247
"BEX3"	1.72844491181196e-250	-0.871861349519544	0.989	0.999	4.08103128127922e-246
"HDLBP"	4.17063939318998e-249	-0.988316154849559	0.712	0.999	9.84729667126086e-245
"KCNQ1OT1"	1.08502399338643e-247	-1.47931058708719	0.456	0.956	2.56185015078469e-243
"TALDO1"	2.05601791555857e-247	-1.00271529010399	0.807	0.996	4.85446390042534e-243
"CLGN"	2.39537104402446e-247	-1.17400574698181	0.174	0.844	5.65571057204614e-243
"NDUFS8"	6.56453589738615e-246	-0.916644889332428	0.848	0.998	1.54995257073184e-241
"IFT57"	1.52676288931664e-245	-1.03792065860301	0.946	0.999	3.60483985796552e-241
"MT-ND1"	1.83076140431799e-245	-1.12300830327889	0.999	1	4.3226107517352e-241
"ANTKMT"	2.99529980399284e-245	-0.914059844368712	0.16	0.859	7.0722023672075e-241
"RACK1"	5.61670376688407e-244	-0.556977507203078	1	1	1.326159926399e-239
"FAM162A"	1.14081351554693e-242	-0.867225432375166	0.971	1	2.69357479155787e-238
"ARPC1B"	7.80345884303285e-242	-1.07614301586962	0.804	0.999	1.84247466742849e-237
"EEF1B2"	4.56486394588203e-241	-0.685811845350146	0.998	1	1.07781002626221e-236
"RER1"	3.90874836733519e-240	-0.973433852610896	0.751	1	9.22894577011513e-236
"ATP5F1A"	4.87069365816099e-240	-0.912339634041985	0.848	0.999	1.15001947962839e-235
"MYO10"	2.32171898654132e-237	-1.12850237049252	0.697	0.995	5.48181069912272e-233
"BMP7"	8.71883738619824e-237	-1.25420790434496	0.756	0.994	2.05860469525527e-232
"RPS14"	4.08182409992767e-236	-0.478130493827883	1	1	9.63759488233922e-232
"ANXA11"	1.85642439998787e-235	-0.979936505092923	0.676	0.987	4.38320365081137e-231
"CALR"	2.21321739274372e-235	-0.907758652828534	0.99	1	5.22562758600719e-231
"TSHR"	2.29551640173735e-235	-1.1317175239429	0.086	0.756	5.41994377614206e-231
"RPL22L1"	6.9183845757135e-234	1.05833656832182	0.999	0.887	1.63349978217171e-229
"SLC50A1"	5.60951952523982e-233	-1.02220418880741	0.57	0.976	1.32446365510438e-228
"FIBP"	9.87728229422788e-233	-0.974761964538346	0.68	0.991	2.33212512249014e-228
"MT-ND3"	1.03895380826629e-232	-0.999993624838201	0.998	1	2.45307383669753e-228
"RNASEH2C"	1.23688858448704e-232	-1.02884740210529	0.502	0.968	2.92041763683235e-228
"TRHDE-AS1"	6.20264626212227e-232	-1.05728892850575	0.249	0.898	1.46450680894969e-227
"SYNE2"	7.7891172914196e-232	-1.14119646453558	0.337	0.928	1.83908848367708e-227
"CYP51A1"	9.03423929795962e-232	-1.14831731150905	0.353	0.916	2.13307424064125e-227
"TCEAL4"	1.97301806221213e-231	-0.898615871744535	0.884	0.999	4.65849294668906e-227
"NTHL1"	2.944811232353e-231	-1.04930175523862	0.59	0.983	6.95299380070866e-227
"CD47"	3.89637946798434e-230	-0.921090841632046	1	1	9.19974156185782e-226
"RPL10"	1.07506377335617e-228	-0.540199190040134	1	1	2.53833307527126e-224
"MTHFD2"	1.83456765793912e-227	-1.25629549839032	0.622	0.971	4.33159769716006e-223
"SNHG6"	2.48006047697907e-227	0.842685733888858	1	0.998	5.85567079219528e-223
"METRN"	5.76334178283509e-227	-1.12453084314231	0.495	0.968	1.36078262834519e-222
"MT-ND2"	9.35622304340053e-227	-1.10526655284114	0.995	1	2.2090978227773e-222
"PGM2L1"	3.53891150414388e-225	-1.31558133722815	0.501	0.954	8.35572395243411e-221
"MT-CO2"	1.31974092085981e-224	-0.886497916039337	1	1	3.1160402882421e-220
"RPS3"	1.83945147107183e-224	-0.513536638451011	1	1	4.34312886834769e-220
"FAM207A"	4.28580902636534e-224	-0.955302253393619	0.32	0.928	1.01192236921512e-219
"MIR99AHG"	1.09379698567973e-223	-0.957176576974595	0.104	0.756	2.5825640628884e-219
"BEX4"	5.54170637902945e-223	-1.00083184774424	0.572	0.972	1.30845229315264e-218
"PPDPF"	5.85089848050316e-223	-0.885999748595346	0.956	1	1.3814556402316e-218
"ATP6V0B"	1.18786150621107e-222	0.790729004185021	1	0.989	2.80465980231495e-218
"AAMDC"	2.85318219783208e-222	-0.890091628465219	0.887	1	6.73664848730133e-218
"EPB41L4A-AS1"	4.99561764588278e-222	1.26675584887039	0.956	0.654	1.17951528236938e-217
"FADS1"	5.44607158530708e-222	-1.07864503054892	0.553	0.967	1.28587196200686e-217
