"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"GATA2"	4.62143666175786e-127	1.70015411901678	0.931	0.147	1.09116741020765e-122
"ZFAS1"	1.7796096074853e-126	2.54716814205685	1	1	4.20183624423355e-122
"ARHGAP29"	1.43660749485758e-125	-1.91912535841891	0.881	1	3.39197395610822e-121
"CDH6"	2.99116202492986e-125	-2.17873521177853	0.224	0.995	7.06243265706189e-121
"GAS5"	4.21626736082529e-125	2.18193633272087	1	0.989	9.95502886564458e-121
"KLF10"	9.49745285846241e-123	2.26402836694976	0.904	0.151	2.24244359441156e-118
"MT2A"	9.11437747086213e-122	3.74529830271138	1	0.933	2.15199566464526e-117
"SNHG17"	2.28249696546559e-121	2.35868180515667	0.98	0.479	5.3892035851608e-117
"PAX8"	2.69815020723983e-119	-1.55130921799678	0.446	1	6.37060245431397e-115
"GADD45B"	5.79776365449488e-119	2.35673621744011	0.908	0.172	1.36890997646279e-114
"MT1F"	7.52093535619667e-119	2.06433907243697	0.977	0.379	1.77576804695159e-114
"EPB41L4A-AS1"	1.30447364046224e-116	1.44026207000079	0.997	0.67	3.0799927124954e-112
"ARPC1B"	1.62365793671326e-116	-1.39346932253748	0.799	1	3.83361875437369e-112
"SNHG7"	2.63524404323422e-115	1.73873289239034	1	0.985	6.22207471048033e-111
"PHGDH"	6.66008402983562e-115	-1.57574844193777	0.67	0.993	1.57251244028449e-110
"RPS9"	2.14859567536989e-114	0.752410678382699	1	1	5.07304924911585e-110
"FDPS"	6.38530454280533e-114	-1.22184920045152	0.941	1	1.50763425560177e-109
"RAB11FIP4"	8.24722158533405e-114	-1.44579879656516	0.205	0.966	1.94725148851322e-109
"SNHG5"	1.25008290975698e-113	1.11359866614176	1	0.996	2.95157075822721e-109
"IDH1"	3.44937773974643e-113	-1.40374621892452	0.254	0.973	8.14432578131531e-109
"PRXL2A"	1.07575107381831e-112	-1.28707391074949	0.29	0.976	2.53995586039241e-108
"RPS26"	5.67972265486663e-109	0.762465190056478	1	1	1.34103931604056e-104
"EPRS"	9.81069713933293e-109	-1.31475320361679	0.545	0.995	2.3164037015679e-104
"ATP5F1D"	1.53487666331099e-108	-1.27553614781221	0.733	1	3.62399728974357e-104
"SNHG1"	2.12480985806552e-108	2.1190826774089	0.977	0.623	5.0168885558785e-104
"PPFIBP1"	2.20670494008056e-108	-1.32821799772878	0.686	0.998	5.21025103402422e-104
"RPL38"	4.15777669462082e-108	0.742091871348669	1	1	9.81692655366921e-104
"SNHG15"	4.58464390084294e-108	2.02511835928369	0.974	0.731	1.08248027142803e-103
"PDRG1"	1.14028186341967e-107	1.25218677998913	0.97	0.372	2.69231950772018e-103
"HSPA8"	7.54868725651071e-107	-1.25419972877396	0.914	1	1.78232054813474e-102
