"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"RPS20"	3.92257423242241e-56	0.535262271857803	1	1	9.26159002017256e-52
"RPS26"	1.74013174125058e-55	0.456783721940416	1	1	4.10862505426675e-51
"POLR2L"	3.72271156936364e-49	0.519027907079878	1	1	8.7896942864245e-45
"CSTB"	4.02108819931182e-43	0.452013837509875	1	1	9.49419134739513e-39
"RPL23"	2.01733708854899e-42	0.41253437032856	1	1	4.76313459977301e-38
"HSP90AB1"	4.21277167361581e-41	0.494835871797874	1	1	9.94677519857428e-37
"RPL31"	5.98391011432536e-39	0.492164800034745	1	1	1.41286101709336e-34
"PARK7"	9.86563999145455e-38	0.343633032885068	1	1	2.32937625838233e-33
"RPL27A"	2.06485105093456e-37	0.316262513566043	1	1	4.8753198163616e-33
"HSP90AA1"	2.07668340402488e-37	0.386570794556965	1	1	4.90325718524315e-33
"HSPD1"	2.12457459649495e-37	0.433163036342033	1	1	5.01633307978422e-33
"CFL1"	4.61450299563962e-37	0.321789589397297	1	1	1.08953030230047e-32
"RPS10"	2.9228474189808e-36	0.50505688789271	0.995	0.986	6.90113504095557e-32
"CCDC58"	6.84788627792063e-36	0.593325244331255	0.971	0.855	1.61685442907984e-31
"SPINT2"	8.67802599771779e-35	0.286764679451366	1	1	2.04896871832115e-30
"SERBP1"	2.71432712190277e-34	0.345284777076708	1	1	6.40879776752462e-30
"COX6C"	6.12143583446805e-34	0.341816033974154	1	1	1.44533221487625e-29
"PPIB"	8.75646348261108e-34	0.429700078953622	0.995	0.988	2.0674885928793e-29
"RB1CC1"	9.29398380739454e-34	0.599595881004751	0.995	0.796	2.19440251676392e-29
"MYL6"	5.44811930446274e-33	0.351748074400282	1	1	1.2863554489767e-28
"OAZ1"	8.70908367485037e-33	0.344735620196384	1	1	2.05630174646892e-28
"RPS29"	2.31388615607021e-32	0.309386171008882	1	1	5.46331660309737e-28
"MT-ND2"	4.34611820102319e-30	0.738039564624269	0.995	0.972	1.02616196844359e-25
"ALYREF"	4.78007953860934e-30	0.385717009855923	1	0.993	1.12862457986105e-25
"RPL18A"	4.9355609598413e-30	0.296954713468628	1	1	1.16533529822813e-25
"RPL22"	6.47274394734081e-30	0.259139928419204	1	1	1.52827957340664e-25
"YWHAB"	6.56209866761278e-30	0.283840223136711	1	1	1.54937711641005e-25
"CD63"	6.70286737645384e-30	0.349965124446993	1	1	1.58261401625452e-25
"IK"	1.01309453041345e-29	0.469740989716977	0.948	0.78	2.39201749575919e-25
"COX8A"	1.69571107353468e-29	0.277290675432301	1	1	4.00374341572273e-25
"PSENEN"	6.03570410523124e-29	0.503395777466131	0.814	0.434	1.42509009628615e-24
"KRT7"	6.86009548340873e-29	0.511047122203822	0.99	0.995	1.61973714458763e-24
"MALAT1"	7.23413862402907e-29	0.945914613200161	1	0.998	1.7080524705195e-24
"RSF1"	1.17559242151248e-28	0.457624863044456	1	1	2.77569126643312e-24
"HSPE1"	3.63938167880434e-28	0.34912180931377	1	0.998	8.59294408182493e-24
"RUVBL1"	1.39478282724162e-27	0.405763106105656	0.995	0.973	3.29322173340019e-23
"NDUFV2"	5.97265984669117e-27	0.360230520141236	1	0.996	1.41020471640225e-22
"NDUFC2"	7.34038268581799e-27	0.297929433229572	1	1	1.73313775594848e-22
"SEM1"	7.82524564683824e-27	0.344137485571568	1	0.998	1.84761874967498e-22
"EIF5A"	8.67405222546389e-27	0.460434178229585	1	0.996	2.04803047095428e-22
"NCL"	1.02671290801007e-26	0.504203915651551	1	0.982	2.42417184710259e-22
"RPL21"	1.5853119310329e-26	0.331145723828523	1	1	3.74308000036179e-22
"FXR1"	1.89986850993721e-26	0.402791419949206	0.99	0.954	4.48577953881274e-22
"DBI"	2.62422291164577e-26	0.362716270027285	1	0.993	6.19605271668684e-22
"AKAP9"	8.13398919287662e-26	0.498319820350715	0.914	0.706	1.9205161883301e-21
"HNRNPH3"	8.31449704842218e-26	0.413975971408722	0.995	0.961	1.96313589810296e-21
"BPTF"	1.07695553331718e-25	0.41918325990838	1	0.984	2.54279970971519e-21
"RPL37A"	1.46209414075275e-25	0.263100378402088	1	1	3.45215047573132e-21
"LTN1"	1.66049307354988e-25	0.472444549130698	0.91	0.676	3.92059019595863e-21
"MT-ATP6"	1.7066671992926e-25	0.572949325136741	1	0.984	4.02961192424975e-21
"TNFRSF12A"	2.29488940310835e-25	0.453005755165038	0.995	0.949	5.41846336967912e-21
"ROMO1"	2.44940851524552e-25	0.387399475241228	1	0.975	5.78329844534619e-21
"COX7B"	2.56686994853607e-25	0.268297759000404	1	1	6.06063663548851e-21
"GOLGB1"	2.88028542494321e-25	0.561678485042663	0.971	0.872	6.80064191683342e-21
"AAMDC"	4.02245759029884e-25	0.456153824170669	0.99	0.888	9.4974246164546e-21
"TUBB4B"	5.55674654526841e-25	0.421675334233431	0.99	0.993	1.31200342680333e-20
"EIF1B"	6.66142487765821e-25	0.432097415640645	0.976	0.848	1.57282902786388e-20
"LMNA"	7.24281704841436e-25	0.38717286035166	1	1	1.71010153330111e-20
"NUCKS1"	1.12081429494832e-24	0.331812482085277	1	1	2.64635463180249e-20
"TCEAL4"	1.53879013505402e-24	0.475445854310977	0.943	0.729	3.63323738787605e-20
"SEPTIN7"	1.77625161460932e-24	0.415571589091407	0.99	0.943	4.19390768725407e-20
"EPHA2"	2.06944304881105e-24	-0.341189226499352	0.995	1	4.88616198254777e-20
"CLNS1A"	2.22557091526252e-24	0.280268177366997	1	1	5.25479548802633e-20
"EID1"	2.69549950480953e-24	0.367345012056475	0.986	0.941	6.36434388080579e-20
"SKP1"	2.88664450211706e-24	0.371254101709731	1	0.991	6.8156563339486e-20
"CYBA"	3.93153177847104e-24	0.478608086136178	0.986	0.929	9.28273968214797e-20
"SNRPD3"	5.66693625343778e-24	0.38197959394172	0.981	0.933	1.33802031879919e-19
"SMARCA5"	7.80299394429445e-24	0.414371933259587	0.957	0.784	1.84236490018736e-19
"EPCAM"	1.08761157681965e-23	0.352662675724714	0.995	0.986	2.56795969402888e-19
"NDUFB6"	1.81604933315224e-23	0.377653923817235	0.981	0.91	4.28787408050576e-19
"SNHG19"	1.94096175771612e-23	0.555971514687982	0.981	0.918	4.58280480614354e-19
"TMED9"	3.16075477885075e-23	0.389436092515495	0.981	0.913	7.46285810834452e-19
"GOLGA4"	3.81665466106608e-23	0.474568447255821	1	0.867	9.01150332024313e-19
"CLDN3"	3.85252935541967e-23	0.481299958089566	0.99	0.872	9.09620706108139e-19
"NOL7"	4.89652140916118e-23	0.345403221372744	0.99	0.963	1.15611766991705e-18
"PA2G4"	5.47691342594465e-23	0.298422732590065	1	1	1.29315402899979e-18
"VAMP8"	1.32377589415372e-22	0.354704454001833	1	0.995	3.12556726368635e-18
"NDUFA6"	2.89332884645163e-22	0.355990217588532	0.99	0.98	6.83143873935695e-18
"DDX24"	3.73077276748277e-22	0.372098761948431	0.99	0.934	8.80872758130357e-18
"HLTF"	4.2709491044795e-22	0.451519698775811	0.814	0.502	1.00841379305866e-17
"SMC3"	4.40780836219976e-22	0.447529159697918	0.933	0.77	1.04072763239898e-17
"SRRM1"	4.82341404317484e-22	0.359419864294987	0.99	0.975	1.13885628973401e-17
"ARID4B"	6.84671038079468e-22	0.426864298507473	0.976	0.863	1.61657678800943e-17
"HNRNPA2B1"	1.07100896501722e-21	0.357104784620444	1	1	2.52875926730215e-17
"RPS18"	2.01480404010902e-21	0.258485727503501	1	1	4.75715381910141e-17
"NDUFA8"	2.0652319537331e-21	0.363505974506994	0.976	0.922	4.87621916595921e-17
"HSP90B1"	2.98575509038795e-21	0.391013533483791	0.995	0.957	7.04966634391499e-17
"SLC25A5"	3.36733689622139e-21	0.297228101278264	1	1	7.95061914566832e-17
