cluster,gene,avg_logFC,pct.1,pct.2,p_val,p_val_adj,description
1,MT-ND3,-0.442968939875297,0.999,0.999,0,0,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
1,MALAT1,-0.714864478587077,1,1,0,0,metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]
1,NEAT1,-0.730230748716648,0.998,0.999,0,0,nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
1,MT-ND2,-0.426809307840107,0.995,0.997,1.30276700033254e-292,3.07596316448517e-288,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
1,MT-ND4,-0.414403007629657,1,0.999,2.03306395001641e-284,4.80026729238375e-280,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
1,CLU,-0.466817387903379,0.982,0.987,1.32881734991222e-223,3.13747064487774e-219,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
1,GPRC5A,-0.40931389749094,0.66,0.741,2.35605425609969e-214,5.56287970407697e-210,G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
1,SLPI,-0.491563555792363,0.997,0.996,3.15230908422999e-203,7.44291697877542e-199,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
1,SNHG8,0.432181768230009,1,0.997,8.93570510650237e-156,2.10980933269628e-151,small nucleolar RNA host gene 8 [Source:HGNC Symbol;Acc:HGNC:33098]
1,NMU,-0.5103632100457,0.871,0.912,1.04186662252751e-143,2.45995128244971e-139,neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]
1,SNHG17,0.421779824940029,0.807,0.79,2.05536756596522e-91,4.85292836000049e-87,small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]
1,MKI67,-0.458104050500934,0.648,0.674,1.82376248429527e-58,4.30608560166955e-54,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
1,SNHG12,0.410319852987984,0.606,0.628,7.08910638608977e-43,1.67380890881965e-38,small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]
1,PLCG2,-0.954993413233177,0.453,0.543,4.75028463842547e-34,1.12158970597864e-29,phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
1,HIST1H4C,-0.541518717356713,0.889,0.833,9.24588552644575e-34,2.18304603164911e-29,histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
1,CXCL1,-0.420553007167629,0.507,0.542,8.87017749463387e-12,2.094337608258e-07,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]
1,MT1X,-0.632599882647739,0.912,0.846,3.15703632196499e-09,7.45407845979155e-05,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
2,MT2A,1.85163076440027,0.992,0.941,0,0,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
2,MT1X,1.73356608726641,0.97,0.835,0,0,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
2,GADD45B,1.34101094212383,0.837,0.553,0,0,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
2,NFKBIA,1.23952927272213,0.978,0.918,0,0,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
2,HES1,1.11340899665223,0.839,0.569,0,0,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
2,ID2,1.02475863422218,0.968,0.849,0,0,inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]
2,JUNB,0.99735925641223,0.96,0.881,0,0,JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]
2,ID1,0.987259997528922,1,0.997,0,0,inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]
2,MT1F,0.965825687173298,0.91,0.687,0,0,metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]
2,EID2,0.855183541410413,0.969,0.893,0,0,EP300 interacting inhibitor of differentiation 2 [Source:HGNC Symbol;Acc:HGNC:28292]
2,DDIT3,0.807845372434519,0.928,0.791,0,0,DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]
2,SLC30A1,0.800092223115778,0.824,0.553,0,0,solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]
2,OSER1,0.76720938669538,0.966,0.873,0,0,oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]
2,SNHG15,0.73831714236271,0.957,0.863,0,0,small nucleolar RNA host gene 15 [Source:HGNC Symbol;Acc:HGNC:27797]
2,AL118516.1,0.709004096717215,0.572,0.334,0,0,novel transcript, antisense to TBC1D22A
2,IER2,0.70726211517202,0.994,0.969,0,0,immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]
2,TNFAIP3,0.706847027236826,0.663,0.298,0,0,TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]
2,IER5,0.693963217993064,0.697,0.455,0,0,immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]
2,CCN1,0.688128962134398,0.943,0.847,0,0,cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]
2,DLX2,0.677209592260009,0.753,0.418,0,0,distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915]
2,THUMPD3-AS1,0.635439045153708,0.958,0.87,0,0,THUMPD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44478]
2,SNAI1,0.623045299239774,0.47,0.216,0,0,snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]
2,PPP1R15A,0.619729272877607,0.847,0.586,0,0,protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]
2,TRA2A,0.611650992261918,0.865,0.63,0,0,transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645]
2,ZNF34,0.609529517602375,0.702,0.339,0,0,zinc finger protein 34 [Source:HGNC Symbol;Acc:HGNC:13098]
2,ARL4A,0.606284928460058,0.714,0.45,0,0,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
2,IER3,0.604670281016787,0.895,0.74,0,0,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
2,TCEAL9,0.602424566462977,0.998,0.985,0,0,transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084]
2,SMAD7,0.600427609471181,0.842,0.678,0,0,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]
2,KLF10,0.597828023878423,0.826,0.552,0,0,Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
2,RSRC2,0.597508358343217,0.987,0.957,0,0,arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559]
2,GATA2,0.59286800247722,0.816,0.549,0,0,GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]
2,TNF,0.58760860521561,0.461,0.212,0,0,tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]
2,CITED2,0.576818972255785,0.894,0.736,0,0,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]
2,ELF3,0.570448863523191,0.972,0.948,0,0,E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]
2,GADD45A,0.566418911141669,0.921,0.78,0,0,growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]
2,TRA2B,0.563694225762407,0.985,0.945,0,0,transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]
2,EFNA1,0.56193816401647,0.83,0.681,0,0,ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]
2,UBC,0.554258830963911,1,0.998,0,0,ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]
2,NXF1,0.540013948917442,0.833,0.598,0,0,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]
2,ZFP36L1,0.537354868110555,0.949,0.842,0,0,ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]
2,AL627171.2,0.537286124082045,0.771,0.557,0,0,novel transcript
2,MTRNR2L12,0.534733745953808,0.958,0.868,0,0,MT-RNR2 like 12 [Source:HGNC Symbol;Acc:HGNC:37169]
2,SNHG17,0.531990985578869,0.908,0.77,0,0,small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]
2,SLC39A10,0.52330398225983,0.709,0.485,0,0,solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]
2,CCNL1,0.517057707801703,0.974,0.889,0,0,cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]
2,KLF11,0.51640524845708,0.727,0.481,0,0,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
