cluster,gene,avg_logFC,pct.1,pct.2,p_val,p_val_adj,description
1,MALAT1,-1.20391410197104,0.996,0.994,0,0,metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]
1,NEAT1,-1.25810721524607,0.996,0.998,0,0,nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
1,ADAMTS1,-0.416464354883214,0.299,0.5,8.10733810020805e-241,1.88876655720547e-236,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]
1,GPRC5A,-0.411795865014548,0.636,0.709,1.36855596963442e-229,3.18832484245731e-225,G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
1,SLC30A1,-0.409076288304791,0.369,0.601,2.98329221257002e-228,6.95017586762439e-224,solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]
1,SLPI,-0.501207076057157,0.995,0.993,1.44043649655129e-220,3.35578490601554e-216,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
1,CLU,-0.458964376381287,0.979,0.984,9.6356184496271e-202,2.24481003020962e-197,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
1,CXCL1,-0.821128367441025,0.364,0.543,4.53970807709172e-198,1.05761579072006e-193,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]
1,ID1,-0.510148732533855,0.997,0.996,7.26933000706807e-161,1.69353581174665e-156,inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]
1,ID2,-0.530829369911225,0.88,0.84,4.29806621322732e-125,1.00132048569557e-120,inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]
1,IER3,-0.589165717415106,0.727,0.749,2.98908135425558e-115,6.96366283100922e-111,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
1,HES1,-0.632414642989381,0.575,0.66,6.25745688274873e-111,1.45779972997397e-106,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
1,MT1X,-0.874753495696441,0.871,0.835,2.31703733243468e-101,5.39800187337308e-97,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
1,GADD45B,-0.527562890655814,0.457,0.588,4.62489752418999e-88,1.07746237621054e-83,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
1,MT2A,-0.794616800578957,0.976,0.929,3.95769157881124e-76,9.22023407115654e-72,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
1,NFKBIA,-0.561778881302454,0.958,0.896,2.21105305909908e-38,5.15109031178312e-34,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
1,HIST1H4C,-0.516815950093394,0.912,0.824,5.17909946404521e-32,1.20657480213861e-27,histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
1,FLG,-0.67797505433481,0.556,0.398,1.91875072122427e-21,4.47011355523618e-17,filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
2,TM4SF1,0.677593572232562,0.94,0.851,0,0,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
2,CLU,0.656628679120832,0.992,0.982,0,0,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
2,SLPI,0.632883565201352,0.997,0.993,0,0,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
2,CLDN3,0.553704852823889,0.968,0.893,0,0,claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]
2,CD9,0.546129170552866,1,0.993,0,0,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
2,CD47,0.517331912206568,1,0.997,0,0,CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]
2,TM7SF2,0.510742474888549,0.769,0.57,0,0,transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]
2,LGALS3BP,0.508813097598948,0.858,0.651,0,0,galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]
2,TACSTD2,0.504477073815673,0.839,0.768,0,0,tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]
2,CD63,0.445180085960332,1,1,0,0,CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]
2,CYBA,0.432563415852289,0.982,0.968,0,0,cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]
2,CLDN7,0.427912748373711,0.95,0.842,0,0,claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]
2,NEAT1,0.413893530086858,0.999,0.997,0,0,nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
2,CD81,0.409196782969204,0.985,0.953,0,0,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]
2,MRPS6,0.408671036135806,1,0.998,0,0,mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]
2,SNHG6,-0.406333541630878,0.996,0.999,0,0,small nucleolar RNA host gene 6 [Source:HGNC Symbol;Acc:HGNC:32965]
2,ASPM,-0.411393650932682,0.37,0.639,0,0,abnormal spindle microtubule assembly [Source:HGNC Symbol;Acc:HGNC:19048]
2,DLGAP5,-0.446050784027814,0.452,0.703,0,0,DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]
2,NUSAP1,-0.469395327095117,0.279,0.553,0,0,nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]
2,CDK1,-0.474986121957367,0.48,0.743,0,0,cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]
2,BRIX1,-0.487241719864722,0.928,0.97,0,0,biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170]
2,TNFAIP3,-0.505401819910204,0.141,0.395,0,0,TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]
2,HMMR,-0.506025450681182,0.354,0.635,0,0,hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]
2,ATF4,-0.525690286976171,0.915,0.974,0,0,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
2,H2AFX,-0.532665769380998,0.579,0.852,0,0,H2A histone family member X [Source:HGNC Symbol;Acc:HGNC:4739]
2,ZNF34,-0.553485429102136,0.172,0.436,0,0,zinc finger protein 34 [Source:HGNC Symbol;Acc:HGNC:13098]
2,TOP2A,-0.578988106767631,0.405,0.648,0,0,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
2,ADM,-0.648334059714309,0.172,0.425,0,0,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
2,TRA2B,-0.686309400881046,0.842,0.942,0,0,transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]
2,UBE2C,-0.687463637120227,0.669,0.904,0,0,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
2,RSRC2,-0.697971673968969,0.906,0.956,0,0,arginine and serine rich coiled-coil 2 [Source:HGNC Symbol;Acc:HGNC:30559]
2,HMGB2,-0.714200562819482,0.547,0.871,0,0,high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
2,SNHG15,-0.861071322730627,0.727,0.843,0,0,small nucleolar RNA host gene 15 [Source:HGNC Symbol;Acc:HGNC:27797]
2,JUNB,-0.927723325735911,0.797,0.897,0,0,JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]
2,KLF10,-0.949180774407687,0.415,0.6,0,0,Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
2,HES1,-0.958320563315171,0.504,0.675,0,0,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
2,NFKBIA,-1.17290321264535,0.833,0.92,0,0,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
