cluster	gene	avg_logFC	pct.1	pct.2	p_val	p_val_adj	description
8	FLG	2.27465890669019	0.961	0.383	0	0	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
8	CD24	0.577318957024345	0.989	0.944	1.1164221720154e-243	2.63598439034555e-239	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]
8	CDH6	0.644236350509421	0.848	0.56	6.04266278307694e-182	1.4267331097123e-177	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]
8	CD9	0.406408836555494	0.997	0.996	2.40513843884752e-175	5.67877236796287e-171	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
8	KRT19	0.532516324839487	0.981	0.961	5.84096243385424e-169	1.37910964025732e-164	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]
8	MT2A	-1.69426669688179	0.888	0.952	9.44408988787606e-157	2.22984406342642e-152	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
8	EPRS	0.432904239829878	0.913	0.738	1.16284170227731e-149	2.74558554324696e-145	glutamyl-prolyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:3418]
8	HSPA8	0.418369116312432	0.986	0.97	3.45696351089518e-147	8.16223654557461e-143	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]
8	DDIT3	-0.722897566770002	0.643	0.823	5.43824880745882e-145	1.2840249259291e-140	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]
8	MT1X	-1.60805556794136	0.732	0.863	5.03759239491853e-136	1.18942594036422e-131	metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
8	TMEM100	0.602591064937651	0.604	0.343	3.09807686702238e-135	7.31486929072655e-131	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]
8	BMP7	0.442847457643099	0.942	0.859	3.93939155329446e-135	9.30129739648355e-131	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]
8	JAK1	0.435438106241221	0.899	0.73	1.75435514548043e-133	4.14220793399383e-129	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]
8	SNHG17	-0.803843412085773	0.652	0.8	4.59623828702171e-125	1.0852178219487e-120	small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]
8	ATF4	-0.532010205773595	0.97	0.986	1.01571706697165e-124	2.39820956682677e-120	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
8	NFKBIA	-1.15483403438821	0.868	0.931	1.3370169953176e-122	3.15683082764439e-118	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
8	ARHGAP29	0.429860414750177	0.989	0.957	1.63898018929142e-121	3.86979612493597e-117	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]
8	NEAT1	0.438319479577229	1	0.999	1.79050823751627e-121	4.22756899959968e-117	nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
