Combo_0	Combo_1	Combo_10	Combo_2	Combo_3	Combo_4	Combo_5	Combo_6	Combo_7	Combo_8	Combo_9	DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9
TMSB10	DNHD1	DNHD1	NFKBIA	USP43	PPP6R3	TMSB10	TMSB10	TMSB10	TMSB10	ASH1L	DFFA	EZR	RAB11FIP4	CDH6	CDH6	POLQ	CENPF	CDH6	LINC01194	LENG8	HSPA5
UBC	TMSB10	KLHL29	ZNF546	IRF1	ZNF260	LGALS1	UBC	CRABP2	LGALS1	NFKBIA	CALD1	VAV3	RAI14	CYTH3	SPON1	ITGB8	CDK1	EZR	VAV3	CD47	ARFRP1
LGALS1	UBC	ROMO1	TMSB10	TNFAIP3	GOLGB1	UBC	DNHD1	SSB	UBC	ZNF546	SUPT5H	LINC01194	LINC02004	ITGB8	MALAT1	JMJD1C	FAM83D	LINC01194	FBN2	WSB1	AIFM2
ZNF546	ROMO1	TMSB10	CCDC85C	INTS6	ZNF224	ROMO1	LGALS1	NDUFC2	ROMO1	UBXN7	NUSAP1	JMJD1C	ERBB4	SPON1	CP	SHROOM3	CENPE	JMJD1C	ATRX	EZR	FUT9
NFKBIA	MRC2	SNHG12	ASH1L	CAV1	SNIP1	NDUFC2	ROMO1	S100A2	NDUFC2	TMSB10	ARFRP1	CPLANE1	VAV3	EZR	CD47	HJURP	ASPM	FBN2	XRN1	ULK1	DFFA
NDUFC2	PRR14L	UBC	DYRK1A	MEIOB	ZNF780B	SSB	NDUFC2	ACTG1	ACTG1	LGALS1	AIFM2	RAI14	CDH6	LAMA3	VAV3	SLC8A1	KIF14	VAV3	ITPR2	SYNE2	SUPT5H
ZNF34	GOLGB1	LGALS1	GCNA	SMAD7	NUP160	CENPE	RCC1	ROMO1	ZNF260	UBC	PAX8-AS1	MUC16	LINC01194	SHROOM3	LINC01194	ERBB4	HOXA3	FUT9	TRIP12	ARHGAP29	CDH6
ROMO1	SNHG12	NDUFC2	UBC	CRKL	SPRED3	HJURP	AC068282.1	LGALS1	ID4	MGA	SMC4	ARHGAP29	AC138150.1	FRMD5	MUC16	LINC01194	HJURP	FRMD5	CYTH3	CP	CD47
RSRP1	PPP6R3	IGFL2-AS1	LGALS1	BAHD1	RBM5	S100A2	ID4	ROCK2	S100A2	OGA	D2HGDH	NINL	HOXA3	VAV3	PRTG	FRMD5	CYTH3	RAI14	LINC00630	PGM2L1	TRNT1
ACTG1	KLHL29	PRR14L	SHB	SLC43A2	TMSB10	ACTG1	KLHL29	TPR	TMEM259	EIF5B	CD47	FRMD5	EZR	ERBB4	PAX8-AS1	ADGRV1	SPON1	SHROOM3	RAI14	REV3L	LINC01194
