DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	EZH2i_0	EZH2i_1	EZH2i_10	EZH2i_2	EZH2i_3	EZH2i_4	EZH2i_5	EZH2i_6	EZH2i_7	EZH2i_8	EZH2i_9
NDUFC2	C18orf25	RAB11FIP4	SDC4	FTH1	AURKB	PIF1	FBN2	XRN1	FHL2	TUBA1C	FTH1	AUTS2	AC138150.1	CDC42BPB	FTH1	POLQ	CEP55	STOX2	ITPR2	LENG8	CALD1
FTH1	SDC4	CD9	LAMA3	TMBIM6	HJURP	PLK1	CD9	FBN2	CD9	NDUFC2	NDUFC2	FTX	GRAMD2A	RIPK4	GPX3	PRC1	PRC1	CDC42BPB	VAV3	RHEX	BCAT1
GPX3	RAB11FIP4	SLC48A1	C18orf25	RPL12	POLQ	CENPF	C18orf25	ATRX	LENG8	H2AFX	GPX3	HMGCS1	TRIM66	RHEX	RPL34	CIP2A	PIF1	TSHZ2	TMCC3	FHL2	GPX3
CALD1	PAX8	ERVK13-1	FBN2	RPL34	KPNA2	CENPE	CTH	UACA	SAT1	MSLN	CALD1	PAX8	TMCC3	TMCC3	NDUFC2	CEP128	CKAP2	MAL	NEK7	ULK1	TUBA1C
SNHG9	MYBL2	ZNF217	OPHN1	AKAP9	KIF18B	AURKB	SDC4	TMBIM6	SLPI	DDX39B	TUBA1C	CDC42BPB	MAL	BCAT1	TUBA1C	KIF18B	CDCA8	RBMS2	LGR4	SNHG12	NDUFC2
TUBA1C	ATRX	C18orf25	CDH6	MCM7	RAD54L	CDK1	ACTN4	MLLT3	WSB1	MCM7	SNHG9	VAV3	HMGCS1	ARHGAP29	BCAT1	KIF18A	KIF18A	RHEX	FTX	SAT1	CHD3
U2SURP	CD9	MYBL2	AL353759.1	NDUFC2	CDK1	KPNA2	LAMA3	LAPTM4B	ULK1	U2SURP	TROAP	LRBA	LRBA	KLHL29	LMO3	CEP55	NEURL1B	PRICKLE2	LGALS1	FBRSL1	DDX39B
TROAP	MSI2	SDC4	TMBIM6	MSLN	ITGB8	TMBIM6	OPHN1	VAV3	KRT19	TMBIM6	U2SURP	CFAP44	CIC	OSBPL10	CALD1	IFT80	KIF2C	RIPK4	CDC27	MAL	NUSAP1
CCNB1	TM4SF1	USH2A	BCL2L1	ITGA3	WDR62	HJURP	SAT1	RPL12	RNF207	CALD1	RPL34	TSHZ2	SLC9A3-AS1	CDH6	PCNX2	MKI67	AURKA	KLHL29	XPO7	TMCC3	SNHG9
DDX39B	FBN2	DNAJC5	ATRX	SNHG9	ATXN2L	ASPM	UACA	CRABP2	AURKB	SNHG9	CCNB1	PGM2L1	ZDBF2	MAL	TMCC3	NFATC2IP	PLK1	ITPR2	CCDC6	GPX3	ARHGAP29
NUSAP1	SEMA3B	SLC9A3-AS1	IER3	SPACA6P-AS	DYRK1A	KIF14	IGFBP3	POLA1	ITGA3	BCL2L1	ZNF652	MAL	RFX3	DST	ANKHD1	TENT4A	CDC27	COL23A1	DCP2	SUGP2	EMX2
SMC4	PISD	AC138150.1	SLC7A5	SLC26A7	CENPE	TOP2A	CDH6	LGALS1	RAB11FIP4	TROAP	NUSAP1	TNRC6B	AK3	GDPD5	AL133523.1	CKAP2	SETD2	RAI14	FTH1	CP	TTC39B
