DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	RACi_0	RACi_1	RACi_10	RACi_2	RACi_3	RACi_4	RACi_5	RACi_6	RACi_7	RACi_8	RACi_9
SCAI	PAX8	RAB11FIP4	RHEX	RHEX	ITGB8	RHEX	RHEX	ANK2	RHEX	SCAI	UBC	SNHG12	ERVK13-1	NFKBIA	USP43	RBM5	ASPM	COL27A1	BDP1	UBC	NFKBIA
DFFA	EZR	CD9	CDH6	MALAT1	HJURP	CENPF	CDH6	XRN1	CD9	RHEX	ZNF546	KLHL29	KLHL29	ZNF546	INTS6	NUP160	UBC	ID4	EIF5B	ACTG1	ASH1L
SH3GLB2	RHEX	RHEX	PAX8	CDH6	PBX1	CENPE	EZR	ATRX	LENG8	SH3GLB2	NFKBIA	BDNF	TSHZ2	SHB	CAV1	ZSWIM8	TOP2A	BDNF	FTH1	NDUFC2	ZNF546
SUPT5H	STOX2	RAI14	EZR	SCAI	ADGRV1	SIM1	STOX2	BMPR1B	CD47	ARFRP1	RSRP1	RBM5	UBC	TLE4	IRF1	BDP1	FTH1	SOX6	JPH2	SNHG12	USP43
PUS7L	ANK2	ANK2	ITGB8	CD47	CCDC150	CDK1	CD9	ITPR2	WSB1	RHOT2	FTH1	PRR14L	S100A2	ROCK2	GATA2	ZNF224	S100A2	UBC	AHCTF1	NOM1	TET3
MALAT1	RAI14	CDH6	STOX2	TXNIP	ESPL1	FAM83D	PAX8	TRIP12	EZR	AIFM2	ASH1L	UBC	SUPT5H	CCDC85C	PPP1R18	ZNF335	COL27A1	KLHL29	NDUFC2	RSRP1	NOM1
RHOT2	MUC16	AC138150.1	LAMA3	MUC16	MKI67	MALAT1	RAI14	LINC00630	SYNE2	DFFA	NDUFC2	LGALS3BP	ATAD5	SOX6	RARA	ZNF780B	ACTG1	RCC1	S100A2	MT2A	UBC
NUSAP1	ARHGAP29	PBX1	RAI14	PAX8-AS1	MYH9	SCAI	FAT2	RAI14	SIM1	SIM1	IQGAP3	FRY	LGALS3BP	ASH1L	TNFAIP3	DYRK1A	BEX2	FTH1	ROCK2	S100A2	TNFAIP3
ARFRP1	NINL	EZR	ARHGAP29	PRTG	SYNE2	HJURP	NEAT1	NHS	MRPS25	HSPA5	S100A2	BDP1	MFSD3	UBC	MEIOB	IQGAP3	NDUFC2	S100A2	TPR	ID1	UBXN7
RHEX	SMURF2	AC061992.2	MUC16	ANK2	NFATC2IP	CDH6	PBX1	EZR	ARHGAP29	CDH6	ACTG1	SCFD2	FTH1	SMAD7	HIST1H2BJ	SNIP1	BDNF	AP000763.3	UBC	SNHG15	BPTF
AIFM2	PGM2L1	NHS	FAT2	STOX2	STOX2	CCDC150	NINL	UACA	HSP90AA1	CD47	EIF5B	FTH1	BDNF	DYRK1A	SLC43A2	ZFX	SETD2	AC068282.1	CRABP2	SPRED3	EIF5B
PAX8-AS1	RAB11FIP4	NEAT1	RND3	CLU	RHEX	FAT2	ANK2	CD47	PGM2L1	TXNIP	BEX2	GOLGB1	SNHG12	ZNF224	SMAD7	ID4	TLE4	ZNF34	AC010422.2	SLC9A1	ID1
AKT1	PBX1	SYNE2	RUNX1	SAMD4B	PRDM5	HOXA3	ITGB8	PBX1	REV3L	IGFBP3	ZNF34	S100A2	PPIL2	LUZP1	SLC12A7	ZNF34	MKI67	IQGAP3	AATK	LIME1	NOP2
SMC4	RORA	HOXA3	PRTG	PBX1	CDH6	HMMR	SYNE2	GAB1	CCDC77	AKT1	TTBK2	PPIL2	ACTG1	ARID4A	FBXO5	GOLGB1	CENPF	ZNF335	BDNF	ITGA3	ZBTB11
NDUFC2	FAT2	RORA-AS1	ANK2	IGFBP3	CDK1	PRTG	PRTG	CDK6	RAB11FIP4	SUPT5H	TNPO2	TSHZ2	ASB16-AS1	USP43	CRKL	GOLGA8B	LGALS3BP	ACTG1	TOP2B	AVIL	ATP13A3
CD47	ITGB8	PRTG	NINL	ATXN7	NINL	PAX8	RND3	PLD1	NMU	CDK1	CRK	ATAD5	CRK	AVIL	CBX8	CFAP44	EIF5B	FRY	ZC3H13	IQGAP3	ID2
TXNIP	TP53INP1	STOX2	SAMD4A	LAMA3	ATAD2	IGFBP3	LAMA3	SAMD4A	PRTG	PRTG	AC068282.1	RBM25	SCFD2	EIF5B	CASZ1	UBC	GOLGB1	ZNF546	ACTG1	ID4	TTBK2
C3	SIM1	RNF215	PBX1	BCL2L11	CD9	GPSM2	RORA-AS1	IGFBP2	FNBP4	PAX8-AS1	AP000763.3	SETD2	AC068282.1	CASZ1	C16orf87	RCC1	IQGAP3	CRABP2	ASPM	ATF3	AVIL
CLU	NEAT1	NINL	PAX8-AS1	PAX8	CENPE	XRN1	DST	BCL2L11	NINL	SYNE2	SLC7A7	ZNF335	GOLGA8B	GRAMD2A	TEAD1	SPRED3	BPTF	BEX2	AC068282.1	CAMTA1-DT	SLC7A7
AC012123.1	TM4SF1	SIM1	CD9	AC012123.1	ANKRD36	ITPR2	RORA	NMU	SUOX	SPOCK2	ZSWIM8	ANKRD1	ZNF780B	ZNF292	TPX2	ATAD5	FNBP4	COL23A1	SCAF1	FLCN	ROCK2
