0	1	2	3	4	5	6	7	8	9	10
NDUFC2	ITGB8	ADAMTS5	USP43	ANKRD1	HMMR	SNHG8	PTTG1	SNHG8	SNAPC1	ITGB8
SNHG8	GPRC5A	NUAK1	EFNB2	SNHG8	SNHG8	GPRC5A	HMMR	MT1F	USP43	GPRC5A
MT1F	NMU	AC022509.2	BRD2	MT1F	TOP2A	NDUFC2	INTS1	NDUFC2	TNFAIP3	CD47
FLNA	SPON1	ELF3	INTS6	GPRC5A	AURKA	CDC42EP3	RGS16	GPRC5A	MT1F	LAMA3
ELF3	LAMA3	MT1H	MEIOB	NMU	MT1F	ANKRD1	CCDC187	SPON1	KLF10	SPON1
CD47	ANKRD1	MT1B	AMD1	NDUFC2	NDUFC2	ITGB8	PMAIP1	ITGB8	ELF3	TM4SF1
FBXO5	DCDC2	MT1M	CAV1	ITGB8	CDK1	LAMA3	NEFH	CD47	CRKL	NMU
TOB1	CDC42EP3	MT1F	CRKL	CD47	NDE1	MT1F	FBXO5	MT1B	GADD45B	SNHG8
CCDC187	TM4SF1	SMAD7	IFFO2	KLF10	GPRC5A	FLNA	FSTL3	CDC42EP3	ID2	DLGAP1-AS2
CHTF18	CD47	BHLHE40	LINC01619	SNAPC1	NMU	WDR97	CHTF18	LAMA3	SNHG8	DCDC2
PTTG1	SNHG8	TNFAIP3	MYLIP	CDK1	ITGB8	SPON1	GLS	FLNA	EFNB2	MT1F
PPM1N	MT1F	USP43	TNFAIP3	SNHG15	TM4SF1	PTTG1	TTLL10-AS1	NMU	MT1M	ANKRD1
ARL6IP1	SNHG15	NMU	GLS	CLSPN	SPON1	CDK1	MEGF6	ANKRD1	SNHG15	FBXO32
CDK1	KLF10	GADD45B	TOB2	TM4SF1	CD47	KLF10	CCNE2	SNHG15	MT1B	CDC42EP3
WDR97	WDR97	GREM1	NGFR	WDR97	MDC1	MT1H	TTYH3	PTTG1	AC022509.2	C4orf54
FSTL3	NDUFC2	NUP93	PECAM1	TNF	PTTG1	SNHG15	EFNA1	ARL6IP1	SMAD7	NDUFC2
GATA2	MT1B	C13orf42	DLL4	SPON1	CDC42EP3	OBSCN	ANKRD1	WDR97	BRD2	KLF10
PLEC	ARL6IP1	FAM124A	SLC16A10	CDC42EP3	LAMA3	CD47	CDK1	CDK1	MT1H	PTTG1
AGRN	FBXO32	SLC12A3	TXLNB	ARL6IP1	FLNA	TSPYL2	INSIG1	C4orf54	NUAK1	SNHG15
NXF1	CDK1	AL592464.3	ARHGAP9	MT1B	WDR97	NMU	ITGB8	DCDC2	VSTM1	CDK1
CCN2	C4orf54	SNHG8	NDE1	PTTG1	DCDC2	SKI	LAMA3	KLF10	NDE1	WDR97
MAFA	PTTG1	SNAPC1	ERO1B	MT1M	SNHG15	CYYR1	AGRN	DLGAP1-AS2	AL133163.2	MT1B
STPG3	MT1M	AL133163.2	SMAD7	GNL1	MT1M	SLC12A3	IQCE	ING2	BHLHE40	ARL6IP1
INTS1	FLNA	WDR97	AC083973.1	INTS1	ADAMTS5	C4orf54	AC008393.1	PTX3	NXF1	GNL1
PCDH9	GNL1	TNF	AC010729.2	LAMA3	MT1B	DCDC2	CBX8	AC008393.1	WDR97	USP35
SLC12A7	USP35	SPON1	TENT5C	FLNA	ANKRD1	TM4SF1	ARL6IP1	FSTL3	AC008393.1	TSPYL2
EPPK1	TNF	CD47	RDH10	TSPYL2	TNF	INTS1	KLF10	TM4SF1	AL592464.3	CLSPN
TOB2	TSPYL2	ANKRD1	AL139106.1	C4orf54	KLF10	GNL1	FAM83D	AURKA	EFNA1	FLNA
MT1B	BHLHE40	FLNA	SLC12A7	FUS	FAM83D	C13orf42	GADD45B	EPPK1	GATA2	LAMA5
RGS16	LAMA5	AC008393.1	MXRA7	STPG3	ELF3	MT1B	STPG3	INTS1	GREM1	RGS16
CASKIN1	DLGAP1-AS2	ING2	IQCE	AL592464.3	NUAK1	CCDC187	LAMA5	GNL1	FLNA	FSTL3
PLCH2	INTS1	GATA2	THBS1	MDC1	C4orf54	STPG3	SNAPC1	MAP1B	NDUFC2	TEDC1
DDR2	CLSPN	DLGAP1-AS2	FUS	USP35	NXF1	CCN2	AC022509.2	ELF3	NMU	AURKA
EFNA1	STPG3	VSTM1	MATN4	CCN2	BHLHE40	EPPK1	CASKIN1	MT1M	ADAMTS5	EPPK1
FSCN1	EPPK1	ID2	TOP2A	FASN	EPPK1	ARL6IP1	PLCH2	EFNA1	DLGAP1-AS2	MT1H
COL18A1	MT1H	CAV1	GATA2	AURKA	FBXO5	PPM1N	CCN2	PCYT2	C13orf42	PTX3
TSPYL2	ADAMTS1	PTX3	PCDH10	MT1H	MT1H	HLA-DPB1	ING2	BHLHE40	GNL1	STPG3
SNHG15	CCN2	DCDC2	ERN1	NXF1	PTX3	TTLL10-AS1	TSPYL2	HMMR	INTS6	CCN2
GADD45B	RGS16	EFNB2	ARL6IP1	EPPK1	USP35	COL18A1	MT1H	FBXO32	ARL6IP1	TTYH3
HS3ST6	FUS	TTLL10-AS1	CBX8	FSTL3	DUSP5	USP35	OBSCN	AL592464.3	AMD1	OBSCN
TTLL10-AS1	COL18A1	CRKL	ID2	RGS16	RDH10	FSTL3	SMAD7	MDC1	MEIOB	PLEC
TEDC1	TTYH3	EFNA1	NXF1	HMMR	AL592464.3	CHTF18	NGFR	HS3ST6	PTX3	INTS1
EFNA2	AL592464.3	NDUFC2	MPP7-DT	PTX3	CLSPN	FBXO32	CLSPN	NPTX1	CCDC187	PMAIP1
BRD2	PTX3	PECAM1	TNFRSF9	MAP1B	PLEC	NPTX1	MAFA	STPG3	TOB1	TNF
SNAPC1	CHTF18	CYYR1	HCK	DUSP5	STPG3	SPSB1	AMD1	IQCE	FAM124A	CHTF18
OBSCN	DUSP5	AC083973.1	ACTN2	ADAMTS1	TSPYL2	SLIT2	HS3ST6	PLEC	AURKA	COL18A1
AL592464.3	CYYR1	LINC01619	VSTM1	SNAI1	GREM1	MT1M	TM4SF1	LAMA5	FUS	DUSP5
ID2	SNAI1	ADAMTS1	POLR2A	CYYR1	SNAI1	PLEC	SLC16A10	RGS16	PCDH10	ATP8A2
ANKRD1	PCDH9	CCDC187	CCNE2	CHTF18	NPTX1	RGS16	TOB1	ATP8A2	TNF	NPTX1
PCYT2	HS3ST6	TNFRSF9	PCDH17	HS3ST6	SLC12A3	DDR2	PLEC	FSCN1	CAV1	SNAI1
ADAMTS1	SLC12A3	DDR2	AL133163.2	CRKL	LINC02632	FSCN1	PCDH9	HCK	NGFR	CYYR1
SKI	HLA-DPB1	PLEC	AC022509.2	NPTX1	FAM124A	NOTCH1	PCYT2	COL18A1	TOB2	MT1M
LAMA3	NPTX1	EPPK1	MDC1	ATP8A2	RGS16	RBM20	DCDC2	PCDH9	NUP93	HMMR
VSTM1	FSTL3	RBM20	CCM2L	PCDH9	CYYR1	TNF	EFNA2	CYYR1	PECAM1	AL592464.3
INSIG1	ATP8A2	OBSCN	MAP1B	LINC02632	CCN2	EFNA2	THBS1	FAM83D	ING2	SLC12A3
NMU	PMAIP1	SKI	AC008393.1	HLA-DPB1	MYLIP	TTYH3	MT1B	USP35	DDR2	AGRN
