0	1	2	3	4	5	6	7	8	9	10
NUSAP1	VAV3	CDH6	AC092069.1	KIF23	FAM83D	FBN2	LAPTM4B	SLC34A2	NUSAP1	RAB11FIP4
AC092069.1	SMURF2	RND3	FLG	ANLN	CENPF	CTH	VAV3	UBE2C	NID2	RAI14
TOP2A	RAB11FIP4	SLC7A5	TRIM44	NCAPG	CENPE	CDH6	TPX2	ARHGAP29	CDK1	ABLIM1
CDK1	ARHGAP29	CDK6	STEAP4	TPX2	ASPM	RND3	FBN2	IGFBP2	IGFBP3	SPINT2
PRRC2C	PGM2L1	WWC2	FAM83D	MKI67	ANLN	SLC34A2	ITPR2	RND3	CENPF	SLC34A2
CA2	TM4SF1	SLC34A2	CA2	NDC80	CDK1	RAI14	TRIP12	ANLN	CLDN1	VAV3
LIX1	RAI14	ARHGAP29	CCN1	CENPE	DEPDC1	LINC02303	WWC2	RAB11FIP4	MKI67	CDH6
FLG	LGR4	SLC38A1	NUSAP1	CDK1	UBE2C	CDK6	LGR4	PGM2L1	AC092069.1	SCD
STEAP4	TTC3	CLDN1	AKAP12	FAM83D	NCAPG	AR	CDK6	NMU	TOP2A	IGFBP2
MKI67	SLC34A2	NID2	LIX1	UBE2C	KIF23	CCN1	BOD1L1	AKAP12	SLC7A5	AR
CENPF	SLC38A1	CCN1	SLC38A1	CENPF	TOP2A	SPINT2	TRIM44	TPX2	IGFBP5	TM4SF1
AKAP12	OSBPL11	RAI14	CDH6	OSBPL11	BOD1L1	ITPR2	CENPE	FAM83D	STEAP4	IGFBP5
CTH	SELENOP	SMURF2	TRIP12	ASPM	LAPTM4B	IGFBP3	AR	SMC1A	CENPE	SELENOP
NDC80	WWC2	FBN2	LAPTM4B	DEPDC1	NDC80	NID2	IGFBP2	DEPDC1	CXCL8	IPO7
SCD	CCN1	AR	IGFBP3	RND3	IGFBP3	WWC2	TTC3	CENPF	ASPM	ITPR2
ASPM	SLC7A5	SPINT2	PRRC2C	ABLIM1	TPX2	NAALADL2-AS2	IPO7	CENPE	AKAP12	TTC3
IGFBP3	NMU	AREG	CTH	SMC1A	MKI67	VAV3	SMC1A	ABLIM1	NDC80	LAPTM4B
CLDN1	RND3	LIX1	IPO7	IPO7	IGFBP2	SLC7A5	SELENOP	SPINT2	CDK6	WWC2
DEPDC1	TRIP12	OSBPL11	UPK1B	WWC2	LGR4	ABLIM1	NMU	TOP2A	SMC1A	PGM2L1
CXCL8	UPK1B	LAPTM4B	TOP2A	TM4SF1	ITPR2	TM4SF1	NCAPG	LGR4	UPK1B	TPX2
FAM83D	ABLIM1	CXCL8	AR	AKAP12	SLC38A1	KIF23	NDC80	CDK1	NCAPG	ARHGAP29
SMC1A	CDH6	AKAP12	LGR4	TOP2A	SPINT2	CA2	RAI14	RAI14	LINC02303	FLG
NAALADL2-AS2	SCD	BOD1L1	ASPM	IGFBP2	WWC2	RAB11FIP4	SPINT2	IGFBP5	LIX1	SLC38A1
NCAPG	LINC02303	NAALADL2-AS2	NAALADL2-AS2	CCN1	SCD	ARHGAP29	ASPM	NID2	SLC34A2	SMC1A
IGFBP5	TRIM44	VAV3	ABLIM1	SMURF2	RND3	LIX1	PRRC2C	SLC7A5	KIF23	KIF23
TRIM44	BOD1L1	TM4SF1	WWC2	SLC34A2	OSBPL11	FLG	ABLIM1	NDC80	CTH	LGR4
TRIP12	AR	CTH	CDK6	BOD1L1	PRRC2C	LGR4	ANLN	ASPM	UBE2C	NMU
IPO7	ITPR2	ABLIM1	OSBPL11	CDH6	CXCL8	AREG	RAB11FIP4	MKI67	SCD	UBE2C
PGM2L1	CA2	LGR4	VAV3	LAPTM4B	RAB11FIP4	SLC38A1	UPK1B	SELENOP	AREG	LINC02303
CCN1	IGFBP5	TRIP12	FBN2	CXCL8	NID2	OSBPL11	CTH	KIF23	SPINT2	TRIM44
AREG	FBN2	IGFBP3	TTC3	TRIM44	IPO7	BOD1L1	SMURF2	CDH6	NMU	TRIP12
UPK1B	SPINT2	TRIM44	CXCL8	SLC7A5	CDH6	IGFBP5	LINC02303	LAPTM4B	ANLN	ANLN
NID2	IPO7	TTC3	CENPF	UPK1B	AR	IGFBP2	SLC38A1	UPK1B	DEPDC1	CENPE
CENPE	CDK6	NMU	SPINT2	SLC38A1	CDK6	SMC1A	MKI67	SMURF2	ARHGAP29	IGFBP3
TTC3	AREG	STEAP4	SCD	RAI14	IGFBP5	IPO7	NAALADL2-AS2	CLDN1	CDH6	OSBPL11
LINC02303	SMC1A	FLG	BOD1L1	AREG	AKAP12	STEAP4	KIF23	ITPR2	FBN2	CCN1
ARHGAP29	IGFBP2	IPO7	ITPR2	CLDN1	NUSAP1	PGM2L1	STEAP4	CTH	CA2	RND3
NMU	PRRC2C	UPK1B	NDC80	IGFBP3	RAI14	CLDN1	SCD	AR	IPO7	NAALADL2-AS2
ITPR2	CLDN1	RAB11FIP4	ARHGAP29	IGFBP5	TRIP12	TTC3	UBE2C	IPO7	TPX2	ASPM
TPX2	FLG	LINC02303	CLDN1	RAB11FIP4	UPK1B	SMURF2	DEPDC1	NCAPG	FAM83D	FBN2
OSBPL11	CXCL8	IGFBP5	AREG	SPINT2	LIX1	SCD	CLDN1	CDK6	PRRC2C	NDC80
SELENOP	NAALADL2-AS2	CA2	TM4SF1	LGR4	CCN1	TRIM44	TM4SF1	AREG	RND3	CXCL8
ABLIM1	STEAP4	IGFBP2	RAI14	NID2	FBN2	TPX2	LIX1	TM4SF1	FLG	DEPDC1
IGFBP2	CTH	SCD	MKI67	STEAP4	SLC7A5	TRIP12	TOP2A	TRIP12	NAALADL2-AS2	CDK1
AR	LAPTM4B	SMC1A	PGM2L1	TTC3	TM4SF1	NMU	CENPF	LINC02303	OSBPL11	BOD1L1
ANLN	LIX1	PRRC2C	DEPDC1	ARHGAP29	NAALADL2-AS2	UBE2C	FAM83D	NAALADL2-AS2	SMURF2	FAM83D
CDK6	IGFBP3	SELENOP	IGFBP5	TRIP12	PGM2L1	LAPTM4B	AKAP12	VAV3	CCN1	NID2
UBE2C	NID2	PGM2L1	IGFBP2	SELENOP	FLG	ANLN	SLC7A5	OSBPL11	SLC38A1	PRRC2C
FBN2	AC092069.1	UBE2C	SELENOP	PRRC2C	TTC3	SELENOP	FLG	AC092069.1	IGFBP2	AREG
LAPTM4B	AKAP12	MKI67	NID2	SCD	STEAP4	CXCL8	NID2	WWC2	TTC3	STEAP4
SPINT2	UBE2C	DEPDC1	LINC02303	PGM2L1	SLC34A2	NDC80	PGM2L1	BOD1L1	TRIM44	MKI67
KIF23	KIF23	AC092069.1	NCAPG	NMU	AREG	MKI67	CA2	TRIM44	PGM2L1	CENPF
SLC38A1	TPX2	NUSAP1	RND3	FBN2	TRIM44	DEPDC1	AREG	CA2	BOD1L1	NCAPG
CDH6	DEPDC1	KIF23	RAB11FIP4	NAALADL2-AS2	ABLIM1	PRRC2C	CDK1	FBN2	LAPTM4B	SMURF2
SLC7A5	NDC80	ITPR2	SLC34A2	FLG	AC092069.1	CDK1	AC092069.1	FLG	RAI14	CDK6
SMURF2	ANLN	NDC80	SMC1A	VAV3	CLDN1	UPK1B	IGFBP3	STEAP4	ITPR2	TOP2A
TM4SF1	MKI67	TOP2A	CDK1	CDK6	SELENOP	NCAPG	OSBPL11	LIX1	ABLIM1	SLC7A5
RND3	NCAPG	ASPM	SMURF2	ITPR2	NMU	ASPM	IGFBP5	CXCL8	TM4SF1	UPK1B
BOD1L1	NUSAP1	NCAPG	UBE2C	LIX1	LINC02303	FAM83D	RND3	PRRC2C	WWC2	CTH
LGR4	ASPM	CENPF	SLC7A5	LINC02303	SMURF2	CENPF	ARHGAP29	TTC3	RAB11FIP4	AKAP12
RAB11FIP4	TOP2A	FAM83D	NMU	AR	SMC1A	CENPE	CXCL8	SLC38A1	TRIP12	CLDN1
