0	1	2	3	4	5	6	7	8	9	10
CCNB1	VAV3	CDK6	MSLN	E2F7	NEURL1B	CDK6	NIPBL	FHL2	NUSAP1	TMEM100
NUSAP1	PGM2L1	PELI1	FLG	ATAD2	PLK1	CTH	VAV3	INHBB	CDK1	VAV3
MSLN	PRKCI	KLHL14	CCNB1	CIP2A	KIF14	FHL2	PCM1	KPNA2	CCNB1	PRKCI
CENPF	HMGCS1	ARHGAP29	SLC38A1	NCAPD2	AURKA	RAI14	ITPR2	SMC1A	MSLN	NCAPD2
SMC4	CCDC6	PLAU	ASPM	HJURP	CDCA8	CCN1	BOC	CP	SMC4	MAL
FN1	ZNF148	LMCD1	NUSAP1	MKI67	HJURP	PRKCI	ZNF148	TOP2A	PLAU	CCDC6
CDK1	MYO10	RAI14	FMR1	HELLS	TOP2A	ITPR2	TRIP11	MAL	ANKRD1	NIPBL
SGO2	TP53INP1	DOC2B	KLHL14	KPNA2	DLGAP5	MAL	CCDC6	ARHGAP29	MKI67	RAI14
TPX2	TM4SF1	SLC38A1	TPX2	CDCA8	ASPM	MYO10	KIF20B	HJURP	ATAD2	HMGCS1
CENPE	LGR4	MYO10	UBE2C	TOP2A	KIF20B	AR	LGR4	CDCA8	SLC7A5	ENAH
FLG	RAI14	ANKRD1	OSBPL11	KIF20B	SGO2	LGR4	TMEM100	TMCC3	ASPM	TTC3
ASPM	ARHGAP29	ENAH	ANKRD1	SMC4	CENPE	ENAH	TXNIP	MSLN	CENPE	TMCC3
DLGAP5	DOC2B	SLC7A5	ARHGAP29	SMC1A	ITGB5	BAZ1A	BAZ1A	KIF14	CENPF	MYO10
UBE2C	CCN1	MEOX1	FN1	DLGAP5	NCAPD2	PELI1	NMU	PLAU	ARHGAP29	AR
CDC27	MAL	LAPTM4B	CENPF	KIF14	KPNA2	VAV3	MEOX1	TRIP11	CLDN1	ATAD2
CIP2A	ENAH	CCN1	SELENOP	ENAH	LAPTM4B	CCN2	FMR1	PGM2L1	HELLS	USH2A
MKI67	SELENOP	CLDN1	KIF20B	IGFBP2	UBE2C	SLC7A5	TMCC3	AURKA	SGO2	INHBB
FMR1	CA2	OSBPL11	DLGAP5	OSBPL11	CDC27	FLG	NCAPD2	SLC7A5	HJURP	PGM2L1
ANKRD1	MEOX1	TMCC3	PELI1	PLK1	CENPF	HELLS	LAPTM4B	UBE2C	SMC1A	ITPR2
TTC3	AR	ZNF148	CDC27	CENPE	CIP2A	LMCD1	MSMO1	NEURL1B	TFPI2	TRIP11
AURKA	TRIM44	TRIM44	TTC3	TPX2	LGR4	ATAD2	TRIM44	NMU	TXNIP	ZNF148
NMU	TTC3	TM4SF1	CP	BAZ1A	ENAH	PLAU	TTC3	SMC4	E2F7	CP
HELLS	SLC38A1	AR	CDK1	HMGCS1	CDK1	SMC1A	PRKCI	CENPE	USH2A	MEOX1
CP	BAZ1A	CTH	AR	NEURL1B	PELI1	CCDC6	CDK6	PRKCI	NMU	BAZ1A
