0	1	2	3	4	5	6	7	8	9	10
FTH1	PAX8	NUAK1	USP43	ANKRD1	MKI67	IL6	TM4SF1	SNHG8	TNFAIP3	SLF2
TSSC4	GPRC5A	ADAMTS5	INTS6	TSSC4	ASPM	PAX8	CD9	TSSC4	USP43	PAX8
SNHG8	LAMA3	SMAD7	SEMA4A	SLF2	TOP2A	CDC42EP3	ASPM	CD47	ID2	TSSC4
MT1F	LGALS3BP	NUAK2	CAV1	LGALS3BP	HMMR	RND3	RGS16	MT1F	KLF10	LAMA3
ELF3	SLF2	C16orf87	IRF1	AURKAIP1	ARL6IP1	ANKRD1	SLF2	FLNA	NUAK2	CD47
SNHG15	CDH6	ENC1	PHF13	SNAPC1	MT1F	TSSC4	PMAIP1	AURKAIP1	MT1F	LGALS3BP
SLC9C2	RND3	CITED2	SKIDA1	PAX8	SLF2	GPRC5A	PTTG1	CDC42EP3	BHLHE41	RND3
PCYT2	CD9	CLK4	IFFO2	MT1F	TSSC4	SLF2	HMMR	NMU	HIST1H2BJ	CD9
ADAMTS1	DCDC2	TNFAIP3	HIST1H2BJ	TNF	LGALS3BP	LAMA3	ANKRD1	SNHG15	BRD2	CDH6
CASKIN1	ANKRD1	USP43	PPP1R3B	SNHG8	SNHG8	SNHG8	AURKA	PTTG1	SMAD7	GPRC5A
IL6	CDC42EP3	AC100800.1	BRD2	GPRC5A	AURKA	CDH6	HIPK4	RND3	BHLHE40	NMU
PLEC	NMU	AMIGO2	DLX3	MKI67	PAX8	SLC9C2	ARFRP1	IL6	CIART	FBXO32
TTLL10-AS1	TSSC4	BHLHE40	PPP1R18	IL6	NMU	LGALS3BP	ELAVL3	BHLHE40	C16orf87	TM4SF1
TOB1	TM4SF1	CIART	MEIOB	SNHG15	IL6	NMU	ING2	CD9	SNHG8	ARFRP1
ELAVL3	AURKAIP1	BHLHE41	GATA2	RND3	RND3	TNF	SNAPC1	LGALS3BP	CCN1	CDC42EP3
INTS1	TNF	KRT81	BAG3	CCN1	MDC1	KLF10	INTS1	KLF10	AMIGO2	SNHG8
PTTG1	CD47	TRIB1	GLS	CDC42EP3	PTTG1	MT1F	SERTAD2	KRT81	NR1D1	ANKRD1
