cluster,gene,avg_logFC,pct.1,pct.2,p_val,p_val_adj,description
1,MT-ND4,-0.414403007629657,1,0.999,2.03306395001641e-284,4.80026729238375e-280,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
1,GPRC5A,-0.40931389749094,0.66,0.741,2.35605425609969e-214,5.56287970407697e-210,G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
1,SNHG8,0.432181768230009,1,0.997,8.93570510650237e-156,2.10980933269628e-151,small nucleolar RNA host gene 8 [Source:HGNC Symbol;Acc:HGNC:33098]
1,SNHG17,0.421779824940029,0.807,0.79,2.05536756596522e-91,4.85292836000049e-87,small nucleolar RNA host gene 17 [Source:HGNC Symbol;Acc:HGNC:48600]
1,SNHG12,0.410319852987984,0.606,0.628,7.08910638608977e-43,1.67380890881965e-38,small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]
2,MT2A,1.85163076440027,0.992,0.941,0,0,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
2,MT1X,1.73356608726641,0.97,0.835,0,0,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
2,GADD45B,1.34101094212383,0.837,0.553,0,0,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
2,NFKBIA,1.23952927272213,0.978,0.918,0,0,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
2,HES1,1.11340899665223,0.839,0.569,0,0,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
3,SLPI,0.74832015814212,0.998,0.995,0,0,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
3,TM4SF1,0.699034860180058,0.951,0.865,0,0,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
3,MRPS6,0.488122538124594,1,0.999,0,0,mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]
3,CLU,0.495629527191786,0.993,0.985,4.45502460947775e-231,1.05187586054379e-226,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
3,NMU,0.494955862823434,0.923,0.903,5.471429599043e-120,1.29185924263004e-115,neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]
4,HIST1H4C,1.34170608997785,0.95,0.828,0,0,histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
4,HIST2H2AC,0.76700516622422,0.731,0.252,0,0,histone cluster 2 H2A family member c [Source:HGNC Symbol;Acc:HGNC:4738]
4,HELLS,0.668974221246562,0.888,0.651,0,0,helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]
4,HIST1H1E,0.666771144745833,0.581,0.175,0,0,histone cluster 1 H1 family member e [Source:HGNC Symbol;Acc:HGNC:4718]
4,MKI67,0.645618917407128,0.843,0.646,0,0,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
5,CXCL1,1.43818888171136,0.801,0.507,0,0,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]
5,CXCL8,1.01959538729121,0.252,0.05,0,0,C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]
5,UCA1,0.726919944114119,0.739,0.521,2.98513435807115e-274,7.04820073284179e-270,urothelial cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:37126]
