cluster,gene,avg_logFC,pct.1,pct.2,p_val,p_val_adj,description
1,ADAMTS1,-0.416464354883214,0.299,0.5,8.10733810020805e-241,1.88876655720547e-236,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]
1,GPRC5A,-0.411795865014548,0.636,0.709,1.36855596963442e-229,3.18832484245731e-225,G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
1,SLC30A1,-0.409076288304791,0.369,0.601,2.98329221257002e-228,6.95017586762439e-224,solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]
1,SLPI,-0.501207076057157,0.995,0.993,1.44043649655129e-220,3.35578490601554e-216,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
1,CLU,-0.458964376381287,0.979,0.984,9.6356184496271e-202,2.24481003020962e-197,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
2,TM4SF1,0.677593572232562,0.94,0.851,0,0,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
2,CLU,0.656628679120832,0.992,0.982,0,0,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
2,SLPI,0.632883565201352,0.997,0.993,0,0,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
2,CLDN3,0.553704852823889,0.968,0.893,0,0,claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]
2,NMU,0.563881067078826,0.908,0.904,1.14125602499563e-234,2.65878416143232e-230,neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]
3,CXCL1,1.34833257316278,0.786,0.468,0,0,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]
3,KLF10,0.840386023901672,0.773,0.536,0,0,Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
3,SLC30A1,0.737049388891054,0.737,0.533,0,0,solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]
3,GADD45B,0.736812942411852,0.782,0.531,0,0,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
3,ADM,0.711793860769911,0.53,0.359,2.90199737272637e-214,6.76078327924062e-210,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
4,MT2A,1.78213031595593,0.994,0.928,0,0,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
4,NFKBIA,1.7342752934651,0.991,0.892,0,0,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
4,MT1X,1.71165915477424,0.979,0.819,0,0,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
4,HES1,1.4201192733049,0.918,0.603,0,0,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
4,GADD45B,1.380517371316,0.87,0.518,0,0,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
5,HIST1H4C,1.4791060923942,0.976,0.826,0,0,histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
5,HIST2H2AC,0.852130015642883,0.796,0.272,0,0,histone cluster 2 H2A family member c [Source:HGNC Symbol;Acc:HGNC:4738]
5,HIST1H1E,0.685919646798148,0.613,0.186,0,0,histone cluster 1 H1 family member e [Source:HGNC Symbol;Acc:HGNC:4718]
5,PCLAF,0.651981380096876,0.981,0.838,0,0,PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]
5,TYMS,0.615639007064018,0.926,0.749,0,0,thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]
6,AURKA,1.54879091855384,0.983,0.542,0,0,aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]
6,HMMR,1.4119487352103,0.94,0.56,0,0,hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]
6,UBE2C,1.40763851512453,0.944,0.859,0,0,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
6,CCNB1,1.31794931997168,0.995,0.701,0,0,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
6,TOP2A,1.30214921534098,0.951,0.58,0,0,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
7,FLG,1.93367239160335,0.768,0.397,0,0,filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
7,TNFSF9,0.484511088992783,0.568,0.3,9.21567458883536e-258,2.14697570896097e-253,TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]
7,CD24,0.497380770197697,0.948,0.866,2.125985717432e-247,4.95290892590133e-243,CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]
7,TMEM100,0.552625894582314,0.493,0.355,1.95288909390513e-92,4.54964572207077e-88,transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]
7,CA2,0.631611991151967,0.334,0.188,2.00982161175563e-89,4.6822814089071e-85,carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]
8,MALAT1,1.84317906451487,1,0.994,0,0,metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]
8,NEAT1,1.59114172557901,1,0.997,0,0,nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
